task_id,workload,data_size,result_size,priority,deadline,type
1,62369612.04,8644.28,722.28,0,0.23,light
2,4767156899.47,2292248.82,399992.19,2,0.6,medium
3,2032035408.07,513819.64,122483.31,1,1.4,medium
4,84232399.0,87304.58,8914.41,1,0.48,light
5,18826698.5,11329.78,1190.98,0,0.42,light
6,27938975.11,38928.07,4476.24,1,0.2,light
7,2358838525.45,4464052.62,1017786.34,1,1.83,medium
8,31853035.58,37567.5,3215.25,1,0.37,light
9,90918712.98,41428.24,3883.27,1,0.46,light
10,16849975402.32,50328688.98,15095278.63,1,3.31,heavy
11,15371765.45,43429.07,4852.72,0,0.19,light
12,3308805465.77,1196273.32,260533.0,2,1.0,medium
13,19016834850.56,20023293.98,5398068.46,0,1.46,heavy
14,4147940302.43,328926.21,49530.48,1,0.76,medium
15,50541084.91,19338.41,1473.54,2,0.46,light
16,4203339877.56,664465.08,164551.01,1,0.86,medium
17,4540210299.65,5411902.39,1217891.87,2,0.6,medium
18,986143570.13,1775887.59,379592.58,1,1.97,medium
19,1087295680.36,2926909.07,650594.16,1,0.58,medium
20,5003519454.81,4054144.1,786177.18,0,1.21,medium
21,72693319.28,63225.99,6763.22,1,0.29,light
22,15999037168.99,24738685.99,7005395.3,2,4.68,heavy
23,1110328301.13,4706625.13,808954.24,1,1.83,medium
24,56436704.12,14199.33,1220.83,1,0.24,light
25,11123540008.85,24370985.99,7126661.07,2,2.27,heavy
26,3355965768.3,1965874.83,336221.44,2,1.27,medium
27,10375626.71,7745.36,698.92,1,0.18,light
28,3623454054.65,1514178.67,338539.68,2,2.0,medium
29,1810081.59,31138.02,3567.39,1,0.26,light
30,11420310581.57,29467725.17,9252852.62,1,2.59,heavy
31,55106519.25,75865.12,8150.56,1,0.28,light
32,3776568878.95,3574476.81,575954.62,1,1.34,medium
33,92865676.06,2031.2,215.9,2,0.24,light
34,84678381.73,50467.23,5501.78,0,0.41,light
35,1883236583.44,2997719.21,648985.09,2,1.8,medium
36,2933665825.03,939648.16,158892.33,1,1.18,medium
37,12148998695.41,7039245.42,1989051.22,2,1.75,heavy
38,1160381706.06,3571593.72,541919.34,0,1.28,medium
39,948612666.08,689648.36,120751.58,1,0.6,medium
40,23238268.19,44554.08,4748.38,1,0.34,light
41,67412281.98,30007.55,2281.65,0,0.13,light
42,87254857.79,94753.6,8588.6,1,0.39,light
43,65761576.89,67868.12,7091.66,1,0.42,light
44,3614274600.09,2552238.95,517280.77,1,1.35,medium
45,4538561913.87,1505624.55,285932.96,1,1.87,medium
46,45918942.91,104537.2,9781.71,2,0.13,light
47,47418031.51,27323.72,2546.7,1,0.13,light
48,4068477282.27,4144835.39,864109.62,0,0.67,medium
49,45466306.65,8252.49,844.58,1,0.48,light
50,17497816.65,2552.96,246.65,1,0.31,light
51,3538878781.65,803759.98,167077.61,1,0.55,medium
52,4107000073.87,3920138.24,784169.41,2,1.85,medium
53,116437393.96,3567330.49,846506.29,2,1.06,medium
54,5325797956.06,1855906.15,327534.31,2,0.83,medium
55,934076698.75,861499.47,167112.4,1,0.99,medium
56,2574551366.15,4608720.77,768233.75,1,1.03,medium
57,1954422804.73,2144820.65,366236.61,2,1.47,medium
58,10457280966.86,34188518.48,10685398.52,1,3.14,heavy
59,105008629.96,62726.48,6959.63,1,0.37,light
60,3107262878.15,4527630.21,835730.13,2,1.22,medium
61,1868072998.84,3314268.94,624351.61,1,1.98,medium
62,30783605.5,71041.14,7598.35,1,0.12,light
63,22250225.58,4589.93,531.11,1,0.48,light
64,3115991534.61,3461910.15,825217.55,2,1.47,medium
65,1636490336.31,1335244.62,272929.45,2,1.5,medium
66,3307311308.94,1799916.9,343259.9,1,0.51,medium
67,3420935788.0,862036.12,132545.73,0,1.39,medium
68,8172806.97,69120.23,6439.72,1,0.2,light
69,49667650.17,62623.83,5423.13,1,0.13,light
70,12302908889.69,25074253.03,8887528.31,2,4.28,heavy
71,18617982868.82,37248285.46,13625100.99,2,1.61,heavy
72,45624459.1,35505.81,3728.91,0,0.15,light
73,5649751281.09,30122164.19,8775499.62,2,4.7,heavy
74,53636528.5,62978.91,6761.67,1,0.12,light
75,20267464.57,44092.93,4137.0,2,0.39,light
76,63436931.84,69537.91,7861.05,1,0.2,light
77,15694884481.24,34598108.38,11786414.61,1,2.82,heavy
78,5160895489.57,4136988.63,691633.34,2,1.47,medium
79,4291727406.63,2536370.55,505678.78,1,1.74,medium
80,3478042341.74,1813214.59,374718.55,1,1.81,medium
81,3826085155.99,1718919.7,336258.39,2,1.9,medium
82,17778810242.23,5307389.1,1176578.43,2,3.1,heavy
83,1916689714.86,3773023.68,584962.7,1,1.92,medium
84,381915946.07,1020624.18,225179.45,1,1.85,medium
85,4217488909.11,929674.52,166935.43,1,0.92,medium
86,68722443.32,12050.93,832.23,1,0.1,light
87,2889283103.97,134857.72,27313.51,2,1.64,medium
88,2398740063.42,1980133.07,432422.97,2,1.73,medium
89,6931333.64,37879.6,3640.74,0,0.28,light
90,15676681.06,58994.67,7117.79,1,0.38,light
91,3633081399.91,2580314.84,423495.37,1,1.98,medium
92,37443149.63,5419.26,634.98,1,0.28,light
93,9702301.55,46877.93,5323.05,2,0.49,light
94,32239846.17,20331.45,1611.73,1,0.33,light
95,15826857119.57,18361282.72,5496036.4,2,4.5,heavy
96,13712884167.76,15634307.47,4385455.86,2,3.64,heavy
97,16045856.34,92527.14,11652.27,1,0.19,light
98,730152579.84,822128.79,168554.57,2,0.64,medium
99,80495580.87,59036.01,6576.73,1,0.39,light
100,2618014590.77,3942154.25,1011435.31,1,0.67,medium
101,5118460347.39,3806293.5,571352.52,1,1.78,medium
102,392350735.13,2822155.03,657354.28,2,0.98,medium
103,2625926599.52,2831341.26,589828.47,1,1.31,medium
104,4341334297.61,2702789.45,521148.88,2,0.72,medium
105,62779360.94,31443.08,4025.74,0,0.5,light
106,2691247834.4,3344806.94,706450.78,2,1.0,medium
107,4060877554.6,3455569.48,636159.06,2,0.77,medium
108,15418492642.21,47418001.04,16298582.93,2,2.35,heavy
109,2159864961.98,2629362.99,454439.13,2,0.79,medium
110,3753948462.72,2745871.4,612736.43,2,1.56,medium
111,73189336.28,26889.83,2673.7,1,0.4,light
112,57147124.88,72810.53,8841.12,0,0.48,light
113,6634063444.49,49749347.72,13973670.59,1,4.92,heavy
114,3291428816.57,2268626.57,348727.42,1,1.23,medium
115,40946807.91,71576.64,7420.33,1,0.41,light
116,67883145.65,37437.83,2866.29,0,0.3,light
117,2722161920.41,2896702.21,543861.54,2,1.69,medium
118,46525954.3,53942.65,5137.19,0,0.46,light
119,197501089.92,2872557.3,597671.11,2,1.23,medium
120,74157355.38,13548.16,1369.28,2,0.46,light
121,2627185509.33,4072791.93,731220.3,1,0.81,medium
122,267347158.57,5338120.11,884483.55,1,1.32,medium
123,1555612475.45,4809460.67,991908.64,2,1.49,medium
124,11810249837.65,52528277.45,13202422.48,2,1.84,heavy
125,18505072.53,29806.69,3216.99,2,0.34,light
126,3086383188.83,425658.11,79651.29,1,1.86,medium
127,47379880.9,72502.7,6640.9,0,0.39,light
128,35219562.28,72582.15,7355.59,1,0.27,light
129,229153869.13,2792244.42,522439.09,1,0.66,medium
130,1693738231.22,1691626.93,344957.54,2,0.84,medium
131,10266295032.12,10350143.34,3407171.21,1,3.91,heavy
132,57599808.7,65712.84,8782.68,1,0.34,light
133,2046874779.99,1916608.9,391031.23,2,1.3,medium
134,707527375.68,153437.24,26831.44,1,0.69,medium
135,75828006.0,91297.58,11583.23,1,0.34,light
136,86154317.77,53906.19,4437.35,1,0.48,light
137,3941842730.27,4960639.5,994273.06,1,0.64,medium
138,8036481608.0,8284487.89,2458607.62,2,2.97,heavy
139,2793766713.85,3826584.11,716385.88,1,2.0,medium
140,3275587408.46,4329906.69,1050358.57,2,1.55,medium
141,97178987.91,90180.86,9838.41,1,0.34,light
142,88552824.43,57608.9,4629.18,0,0.44,light
143,38831840.62,39977.44,2963.12,2,0.2,light
144,1477483210.97,1478318.79,295953.82,2,1.35,medium
145,14610237924.31,40941431.8,10535014.24,2,3.47,heavy
146,1660156679.07,1687839.21,293740.18,2,0.78,medium
147,479757609.19,2702242.11,426714.9,1,1.23,medium
148,1877820376.93,1547250.94,324973.61,1,1.72,medium
149,839134573.02,1719490.83,324153.66,1,1.81,medium
150,2024855626.36,3869001.98,828478.74,1,0.8,medium
151,44945739.25,59696.97,6213.68,1,0.23,light
152,4182472811.17,3939527.34,808579.17,1,0.66,medium
153,4043492268.25,1242339.75,258374.92,1,1.96,medium
154,46646408.48,80400.9,7362.58,0,0.3,light
155,105595253.59,26513.44,2877.02,0,0.38,light
156,7150248521.12,45079434.99,16957598.19,2,1.92,heavy
157,4566320343.14,2104151.09,470387.37,0,0.58,medium
158,1185694425.73,1666633.53,331336.67,1,1.47,medium
159,9345858967.57,24979024.34,6247308.42,0,1.16,heavy
160,2347246992.95,4373465.16,703268.32,1,1.92,medium
161,5060627611.72,31492916.6,10303711.41,1,3.97,heavy
162,1778849307.56,3445655.87,536896.17,1,1.83,medium
163,64096413.32,83542.34,9784.6,0,0.38,light
164,31758421.48,68320.37,8794.94,1,0.39,light
165,9481972480.37,44010207.86,15888361.06,2,4.9,heavy
166,82455546.6,7855.9,774.68,2,0.3,light
167,767007764.5,316066.24,68691.59,2,1.54,medium
168,92025070.3,95255.16,8033.29,1,0.25,light
169,1060166346.17,876136.8,163363.1,2,1.82,medium
170,2497042909.92,1442513.61,267086.04,2,1.33,medium
171,5911063200.33,11998562.61,3834262.14,2,2.08,heavy
172,4026471994.44,2492841.45,453319.71,1,1.41,medium
173,12066837034.36,39862592.22,11537692.8,2,2.3,heavy
174,9082904741.76,51130036.74,13361474.91,2,3.15,heavy
175,11847749.44,75592.66,7581.68,1,0.45,light
176,1099784759.02,1341053.77,305921.3,2,1.63,medium
177,2044489032.97,4239314.45,755747.32,1,0.78,medium
178,71669176.34,66512.9,4810.29,0,0.17,light
179,6113296972.61,16763721.22,5943090.43,2,1.4,heavy
180,3144449692.58,1773501.83,299609.44,2,1.65,medium
181,10124927.66,13930.42,1664.19,0,0.49,light
182,34116445.86,66252.2,6047.38,1,0.33,light
183,17355867.5,6012.82,674.75,1,0.15,light
184,50890114.63,77901.05,7403.56,2,0.11,light
185,1113281880.51,4115797.46,775217.46,2,1.73,medium
186,649179652.37,5185366.98,973498.52,2,0.68,medium
187,2847870336.14,1005067.85,189064.35,1,1.52,medium
188,4461543921.64,1919389.43,317012.3,2,1.49,medium
189,5924617519.27,4986498.77,1873800.03,1,3.62,heavy
190,3774208526.47,2244101.41,444256.21,1,1.94,medium
191,18678257.54,41412.89,3508.09,1,0.38,light
192,17147151026.7,34651545.56,9875077.5,2,2.99,heavy
193,41018587.48,60892.25,5368.39,1,0.38,light
194,123644228.79,4532343.97,777876.7,1,1.94,medium
195,4559825368.97,4757402.74,1061351.28,1,0.72,medium
196,8989805375.25,41216476.41,9436281.5,1,4.85,heavy
197,103040726.0,40597.3,3700.41,1,0.13,light
198,34555933.64,8260.11,768.51,1,0.43,light
199,17134548867.46,37858156.42,9625246.24,2,2.35,heavy
200,6620428964.63,47623042.47,11280378.82,2,3.01,heavy
201,4576192359.94,2772384.81,593546.41,2,1.25,medium
202,4984207546.9,2506074.46,592577.32,1,0.82,medium
203,72056893.54,57969.82,6826.89,2,0.29,light
204,830999850.86,4119664.96,913870.44,1,0.66,medium
205,249621073.23,1426206.09,304610.72,0,1.4,medium
206,65018926.5,4448.35,346.94,2,0.33,light
207,1608002760.6,4434970.06,797140.27,1,0.92,medium
208,16652428328.83,44927213.57,16808101.63,1,2.63,heavy
209,800826168.83,2769674.46,563167.85,1,1.78,medium
210,4574369328.33,587079.16,112948.3,2,1.71,medium
211,4669031914.85,2779961.79,555611.81,2,1.9,medium
212,1823625362.83,4044092.92,853532.62,2,1.66,medium
213,7822661.67,17279.7,1706.95,1,0.42,light
214,21229994596.88,37445653.48,9617350.25,1,2.25,heavy
215,36771792.49,9353.86,921.75,1,0.2,light
216,70073164.97,14608.99,1356.66,1,0.12,light
217,4477926937.87,758697.81,138764.88,2,1.93,medium
218,28322505.78,83203.31,10012.5,1,0.36,light
219,127056037.4,4184311.99,778403.76,1,1.1,medium
220,9407181.1,49306.25,5396.61,2,0.29,light
221,101493473.37,76842.25,7053.34,1,0.23,light
222,2501718019.62,1411387.09,216352.37,1,1.2,medium
223,3029084310.42,1788291.19,495183.33,1,1.15,medium
224,17627904540.83,35086165.58,9348880.42,2,1.33,heavy
225,3827134716.03,4013166.09,953416.09,2,0.89,medium
226,10080647631.73,40361756.22,9416645.57,1,2.68,heavy
227,73933764.56,36816.1,3561.64,1,0.1,light
228,3536834379.44,3268666.58,558882.36,2,1.91,medium
229,916199963.36,2303479.28,404954.79,2,0.67,medium
230,5529789312.66,23240230.98,8107591.94,1,2.8,heavy
231,94948947.79,46451.45,4747.58,0,0.25,light
232,2927718970.08,182952.51,39890.71,0,1.84,medium
233,3294865080.4,2458148.11,415335.39,1,1.31,medium
234,938712564.18,2350856.5,397415.25,1,1.31,medium
235,2466010164.91,1578959.57,287197.04,2,1.79,medium
236,3563692686.07,2869915.87,595065.23,1,1.63,medium
237,58010911.97,4130.29,363.94,1,0.19,light
238,2554772974.99,738693.48,176630.34,2,1.12,medium
239,130799946.83,2066799.09,364728.74,1,1.82,medium
240,39141341.77,24288.08,3073.27,1,0.11,light
241,77939965.02,66113.88,5294.33,2,0.5,light
242,66565078.69,90953.07,8696.28,1,0.15,light
243,90590029.44,53582.95,5379.73,0,0.42,light
244,79455996.9,57971.16,5633.82,1,0.48,light
245,13217461904.01,30952463.15,8087175.57,2,4.68,heavy
246,798550795.19,2228804.35,492536.44,1,0.86,medium
247,24142401.08,85027.88,8939.49,1,0.36,light
248,13430364238.18,29719139.64,8461577.37,2,3.38,heavy
249,553613795.97,2280694.9,435768.38,2,1.09,medium
250,5192147856.26,503178.42,95364.36,1,0.97,medium
251,163935153.7,1071847.99,199710.53,2,0.55,medium
252,13337136570.19,26807470.37,6933321.6,2,4.71,heavy
253,49880773.77,15180.88,1928.23,0,0.19,light
254,4753717125.5,1353143.0,293897.28,2,1.02,medium
255,2624058043.47,2814351.7,479538.0,1,0.76,medium
256,11880899463.82,31188085.69,11173614.48,1,4.18,heavy
257,42342793.39,75967.45,8230.43,1,0.34,light
258,3255822671.79,397766.88,76636.25,0,1.27,medium
259,14155986653.21,51249247.85,13281840.17,0,1.72,heavy
260,5868660874.56,31182016.1,9501140.57,2,1.49,heavy
261,12224580009.2,41008157.25,13060603.75,2,2.54,heavy
262,30767087.85,60225.03,7418.03,2,0.13,light
263,10724398181.14,19099777.86,4731689.2,2,2.99,heavy
264,965553327.6,1822881.47,356047.62,1,0.93,medium
265,98882023.85,26465.08,3409.55,1,0.46,light
266,462666580.63,554804.35,128350.23,2,0.91,medium
267,1748540712.91,3390040.42,548669.2,2,1.18,medium
268,35014414.46,59976.81,5236.59,0,0.1,light
269,47688594.38,19596.6,1700.22,2,0.25,light
270,79544860.51,25797.39,3042.43,0,0.48,light
271,3776142536.95,1525533.16,259496.27,1,1.19,medium
272,89382530.07,98122.8,9627.51,1,0.15,light
273,93678699.21,30126.58,3632.48,1,0.21,light
274,95662171.72,60458.74,6546.46,1,0.13,light
275,8391250878.59,42064306.7,11770671.37,1,1.83,heavy
276,17766256471.37,17961718.8,5451790.64,1,3.02,heavy
277,93197857.79,81080.54,8401.56,1,0.18,light
278,4135831437.65,3535374.41,527709.51,2,1.62,medium
279,220101786.65,3297418.97,610143.84,1,1.89,medium
280,52224374.15,53664.38,4146.62,1,0.14,light
281,1520158652.78,2148307.39,442829.4,1,1.24,medium
282,17701402911.59,13693673.68,3465776.14,0,2.06,heavy
283,3377355298.26,3440337.28,649680.25,1,1.6,medium
284,72393352.27,35438.63,3371.19,1,0.39,light
285,11105031302.7,17567781.06,7059109.64,1,2.26,heavy
286,6790847385.1,5101560.2,1714247.74,1,1.71,heavy
287,81140533.58,55134.26,7557.04,1,0.3,light
288,53119184.64,91006.18,10794.78,1,0.17,light
289,73682878.31,44565.66,4523.64,2,0.2,light
290,1974890928.31,3648318.01,763906.32,2,1.79,medium
291,71088472.8,67854.49,5905.51,2,0.44,light
292,8134913793.9,41833581.89,14061116.01,2,3.98,heavy
293,5273509709.44,4421673.1,898271.07,2,1.17,medium
294,14606872331.65,40833362.67,12951799.43,2,4.98,heavy
295,37029627.89,59016.54,6561.63,1,0.49,light
296,2607747737.94,3572760.28,655693.13,1,1.95,medium
297,9497457385.22,37327377.14,9529343.51,0,2.13,heavy
